ID,óöóID,ì˙éû,ê¸åaÉ m
23995624123,24705,2021-11-23 06:05:43.247,0.1184
23995624124,24705,2021-11-23 06:05:43.273,0.11729
23995624125,24705,2021-11-23 06:05:43.287,0.11847
23995624126,24705,2021-11-23 06:05:43.307,0.1184
23995624127,24705,2021-11-23 06:05:43.327,0.11683
23995624128,24705,2021-11-23 06:05:43.347,0.11787
23995624129,24705,2021-11-23 06:05:43.363,0.11732
23995624130,24705,2021-11-23 06:05:43.387,0.11687
23995624131,24705,2021-11-23 06:05:43.407,0.11592
23995624132,24705,2021-11-23 06:05:43.427,0.11784
23995624133,24705,2021-11-23 06:05:43.443,0.11996
23995624134,24705,2021-11-23 06:05:43.467,0.11725
23995624135,24705,2021-11-23 06:05:43.487,0.11826
23995624136,24705,2021-11-23 06:05:43.503,0.11798
23995624137,24705,2021-11-23 06:05:43.527,0.11743
23995624138,24705,2021-11-23 06:05:43.543,0.11787
23995624139,24705,2021-11-23 06:05:43.573,0.11673
23995624140,24705,2021-11-23 06:05:43.587,0.11746
23995624141,24705,2021-11-23 06:05:43.607,0.1178
23995624142,24705,2021-11-23 06:05:43.627,0.11592
23995624143,24705,2021-11-23 06:05:43.643,0.11916
23995624144,24705,2021-11-23 06:05:43.667,0.1185
23995624145,24705,2021-11-23 06:05:43.687,0.11798
23995624146,24705,2021-11-23 06:05:43.703,0.11933
23995624147,24705,2021-11-23 06:05:43.727,0.11732
23995624148,24705,2021-11-23 06:05:43.747,0.11432
23995624149,24705,2021-11-23 06:05:43.767,0.11467
23995624150,24705,2021-11-23 06:05:43.787,0.11861
23995624151,24705,2021-11-23 06:05:43.807,0.11739
23995624152,24705,2021-11-23 06:05:43.827,0.11979
23995624153,24705,2021-11-23 06:05:43.847,0.11777
23995624154,24705,2021-11-23 06:05:43.873,0.11892
23995624155,24705,2021-11-23 06:05:43.887,0.11826
23995624156,24705,2021-11-23 06:05:43.907,0.11787
23995624157,24705,2021-11-23 06:05:43.927,0.11652
23995624158,24705,2021-11-23 06:05:43.943,0.11923
23995624159,24705,2021-11-23 06:05:43.967,0.11805
23995624160,24705,2021-11-23 06:05:43.987,0.11722
23995624161,24705,2021-11-23 06:05:44.007,0.11819
23995624162,24705,2021-11-23 06:05:44.027,0.11729
23995624163,24705,2021-11-23 06:05:44.047,0.11899
23995624164,24705,2021-11-23 06:05:44.067,0.11847
23995624165,24705,2021-11-23 06:05:44.087,0.11826
23995624166,24705,2021-11-23 06:05:44.107,0.11868
23995624167,24705,2021-11-23 06:05:44.127,0.11784
23995624168,24705,2021-11-23 06:05:44.143,0.11889
23995624169,24705,2021-11-23 06:05:44.177,0.11592
23995624170,24705,2021-11-23 06:05:44.187,0.1184
23995624171,24705,2021-11-23 06:05:44.207,0.11756
23995624172,24705,2021-11-23 06:05:44.227,0.11916
23995624173,24705,2021-11-23 06:05:44.247,0.11843
23995624174,24705,2021-11-23 06:05:44.263,0.12065
23995624175,24705,2021-11-23 06:05:44.287,0.11683
23995624176,24705,2021-11-23 06:05:44.307,0.11638
23995624177,24705,2021-11-23 06:05:44.327,0.11889
23995624178,24705,2021-11-23 06:05:44.347,0.11715
23995624179,24705,2021-11-23 06:05:44.367,0.11919
23995624180,24705,2021-11-23 06:05:44.387,0.11592
23995624181,24705,2021-11-23 06:05:44.407,0.11725
23995624182,24705,2021-11-23 06:05:44.427,0.11972
23995624183,24705,2021-11-23 06:05:44.447,0.11798
23995624184,24705,2021-11-23 06:05:44.467,0.11843
23995624185,24705,2021-11-23 06:05:44.487,0.11687
23995624186,24705,2021-11-23 06:05:44.507,0.11641
23995624187,24705,2021-11-23 06:05:44.527,0.12021
23995624188,24705,2021-11-23 06:05:44.547,0.11833
23995624189,24705,2021-11-23 06:05:44.567,0.11592
23995624190,24705,2021-11-23 06:05:44.587,0.11906
23995624191,24705,2021-11-23 06:05:44.607,0.11534
23995624192,24705,2021-11-23 06:05:44.633,0.1169
23995624193,24705,2021-11-23 06:05:44.647,0.11592
23995624194,24705,2021-11-23 06:05:44.667,0.1169
23995624195,24705,2021-11-23 06:05:44.687,0.11708
23995624196,24705,2021-11-23 06:05:44.707,0.1194
23995624197,24705,2021-11-23 06:05:44.727,0.11861
23995624198,24705,2021-11-23 06:05:44.747,0.1168
23995624199,24705,2021-11-23 06:05:44.767,0.11715
23995624200,24705,2021-11-23 06:05:44.787,0.11833
23995624201,24705,2021-11-23 06:05:44.807,0.11715
23995624202,24705,2021-11-23 06:05:44.827,0.11766
23995624203,24705,2021-11-23 06:05:44.847,0.11871
23995624204,24705,2021-11-23 06:05:44.863,0.11882
23995624205,24705,2021-11-23 06:05:44.887,0.11645
